Game Nr,Game Score
1,17
2,44
3,6
4,18
5,41
6,30
7,22
8,9
9,6
10,32
11,21
12,22
13,4
14,111
15,25
16,18
17,78
18,33
19,31
20,32
21,24
22,14
23,36
24,1
25,26
26,56
27,34
28,18
29,94
30,52
31,22
32,65
33,15
34,2
35,43
36,66
37,18
38,69
39,28
40,23
41,24
42,9
43,22
44,14
45,18
46,17
47,8
48,13
49,41
50,183
51,13
52,89
53,44
54,16
55,1
56,17
57,10
58,53
59,59
60,0
61,59
62,50
63,20
64,82
65,74
66,28
67,74
68,17
69,32
70,42
71,13
72,47
73,4
74,41
75,33
76,27
77,80
78,40
79,33
80,177
81,26
82,9
83,70
84,36
85,32
86,29
87,12
88,8
89,102
90,28
91,13
92,128
93,6
94,23
95,29
96,34
97,12
98,15
99,21
100,56
101,49
102,4
103,19
104,41
105,143
106,36
107,21
108,14
109,21
110,57
111,100
112,23
113,40
114,23
115,51
116,1
117,32
118,54
119,10
120,6
121,41
122,2
123,12
124,43
125,17
126,5
127,148
128,18
129,14
130,19
131,133
132,44
133,47
134,20
135,6
136,20
137,40
138,58
139,22
